timestamp;x;y;z
1432030081497506;3.1875;-5.375;13.5625
1432030081513584;2.8125;-7.5625;18.5625
1432030081536629;4.9375;-10.625;25.0625
1432030081557614;17.9375;-15.125;33.9375
1432030081572788;48.5;-19.875;46.625
1432030081595838;85.9375;-24.0625;59.1875
1432030081617008;114.188;-32.6875;70.4375
1432030081640132;124.875;-42.9375;76
1432030081656114;121.063;-45.8125;84.25
1432030081679237;97.3125;-46.875;82.8125
1432030081693330;76.375;-49.6875;70.375
1432030081715344;65;-48.25;53.1875
1432030081738411;61.4375;-37.6875;37.5
1432030081753375;32.375;-31.875;19.9375
1432030081775411;15.8125;-27.375;11.125
1432030081798450;23.5625;-28.1875;6.75
1432030081819469;46.75;-29.5;0.9375
1432030081835455;71.125;-31.375;-5.1875
1432030081858470;79.4375;-31.4375;-15.375
1432030081879487;71.0625;-32.125;-26.8125
1432030081895495;62.75;-32.625;-38.1875
1432030081918486;56.3125;-36.375;-47.3125
1432030081939524;63;-38.9375;-56.375
1432030081955516;72.75;-42;-57.1875
1432030081978555;76.1875;-44.625;-60.5625
1432030081999597;77.625;-51.3125;-62.5625
1432030082015599;74.625;-55.8125;-62.375
1432030082038597;73.375;-59.0625;-55.5
1432030082059747;71.8125;-60.875;-51.8125
1432030082075730;66.125;-59.9375;-45.375
1432030082098825;57.6875;-60.3125;-35.75
1432030082119897;40.9375;-57;-31.125
1432030082135851;32.125;-51.625;-28.1875
1432030082158868;38;-41.125;-30.125
1432030082179891;39.5625;-31.6875;-36.75
1432030082195893;33.4375;-22.625;-37.9375
1432030082218911;-2.8125;-17.25;-37.6875
1432030082240094;-35.3125;-15.375;-37.4375
1432030082256062;-39.5;-15.25;-30.875
1432030082279091;-27.25;-6.6875;-22.9375
1432030082300236;-14.6875;-0.5625;-19.75
1432030082315244;-10.8125;-5.125;-12.625
1432030082339202;13.1875;-7.5625;-0.625
1432030082360356;11.25;-7.75;1.9375
1432030082375444;-6.0625;-3.375;1.25
1432030082389511;1.875;-6.5625;7.6875
1432030082420534;-7.0625;-1.0625;6.6875
1432030082434489;2.375;-1.125;13.5625
1432030082449553;-3.625;0.6875;14.0625
1432030082471537;-21.5625;5.9375;18.0625
1432030082494585;-40.3125;9.625;22.4375
