timestamp;x;y;z;w
1432029809194851;-0.0899048;0.590393;0.307434;0.740784
1432029809223879;-0.0904541;0.598572;0.287231;0.742249
1432029809239871;-0.0911865;0.606262;0.269531;0.742554
1432029809254895;-0.0918579;0.613342;0.253906;0.742188
1432029809276899;-0.0916748;0.620117;0.239197;0.741455
1432029809299925;-0.0910034;0.626038;0.226196;0.740662
1432029809314923;-0.0919189;0.629639;0.216064;0.740479
1432029809336972;-0.0939941;0.631409;0.207764;0.741089
1432029809375988;-0.0939941;0.632446;0.19928;0.742554
1432029809380990;-0.0890503;0.633301;0.189148;0.745056
1432029809396981;-0.0778198;0.634155;0.17749;0.748474
1432029809420004;-0.0596313;0.635925;0.164917;0.751465
1432029809434064;-0.0370483;0.637512;0.151306;0.754456
1432029809465035;-0.0133057;0.637878;0.138;0.757507
1432029809480046;0.00866699;0.636536;0.126587;0.760681
1432029809501112;0.0270386;0.633606;0.118042;0.764038
1432029809517094;0.0437012;0.628845;0.113037;0.767944
1432029809540082;0.0588379;0.623474;0.108521;0.771973
1432029809561118;0.0749512;0.618286;0.103638;0.775391
1432029809577180;0.0930786;0.613464;0.0983887;0.777954
1432029809600216;0.112305;0.610168;0.0921021;0.778748
1432029809621217;0.131042;0.606628;0.0858154;0.779297
1432029809638253;0.148682;0.60199;0.0806274;0.780334
1432029809667305;0.164368;0.596985;0.0752563;0.781555
1432029809681304;0.178467;0.592102;0.0684814;0.782776
1432029809697309;0.192749;0.586975;0.0603027;0.783936
1432029809720325;0.209534;0.581116;0.0516968;0.784607
1432029809741400;0.227417;0.574585;0.0424805;0.785034
1432029809757445;0.24408;0.567017;0.0332031;0.78595
1432029809780440;0.258362;0.557861;0.0234375;0.788269
1432029809801535;0.272034;0.546448;0.0150146;0.79187
1432029809816540;0.288208;0.533264;0.00720215;0.795227
1432029809840600;0.308472;0.518982;-0.000244141;0.797119
1432029809861671;0.327271;0.503357;-0.00787354;0.799561
1432029809876654;0.343933;0.486511;-0.0162964;0.802917
1432029809900640;0.356445;0.469177;-0.0255127;0.807495
1432029809928714;0.367493;0.451355;-0.0366821;0.812256
1432029809936695;0.380737;0.432251;-0.0507813;0.815796
1432029809959724;0.395996;0.411865;-0.0666504;0.817932
1432029809980699;0.413574;0.389771;-0.0834961;0.818542
1432029810004773;0.429016;0.367371;-0.0994873;0.819153
1432029810020784;0.441895;0.344238;-0.114563;0.820374
1432029810040816;0.451416;0.321045;-0.129517;0.822388
1432029810056868;0.459473;0.297241;-0.145752;0.824158
1432029810079883;0.46637;0.273804;-0.163086;0.825134
1432029810100920;0.47168;0.250366;-0.181641;0.825684
1432029810116969;0.477539;0.226563;-0.200745;0.824768
1432029810139986;0.4823;0.203308;-0.219421;0.823303
1432029810160999;0.485596;0.181396;-0.237915;0.82135
1432029810177011;0.489563;0.1604;-0.256653;0.817688
1432029810200017;0.493103;0.140564;-0.274902;0.813293
1432029810223045;0.495605;0.12146;-0.293274;0.808411
1432029810237043;0.496643;0.103638;-0.311951;0.803284
1432029810259055;0.496826;0.0866699;-0.330322;0.797791
1432029810283074;0.494263;0.0715942;-0.347534;0.793579
1432029810297112;0.489807;0.0574341;-0.363464;0.790344
1432029810319130;0.486511;0.0421143;-0.379089;0.78595
1432029810343144;0.482727;0.0266724;-0.394348;0.781433
1432029810357132;0.478149;0.0128174;-0.40918;0.776978
1432029810379171;0.473755;0;-0.424866;0.771362
1432029810402268;0.465515;-0.0117798;-0.441589;0.766907
1432029810425286;0.45697;-0.024292;-0.45752;0.76239
1432029810430339;0.452942;-0.0408325;-0.472351;0.755005
1432029810453319;0.451111;-0.0584717;-0.485291;0.746704
1432029810475370;0.450012;-0.0765381;-0.496887;0.738037
1432029810490344;0.446045;-0.0931396;-0.50946;0.729919
1432029810513422;0.440674;-0.10791;-0.522278;0.722046
1432029810535540;0.436096;-0.119873;-0.536438;0.712463
1432029810558553;0.427979;-0.125244;-0.552063;0.704468
1432029810573536;0.420288;-0.124512;-0.567078;0.697327
1432029810595542;0.41217;-0.115112;-0.582275;0.691223
1432029810618539;0.40686;-0.103333;-0.596558;0.684021
1432029810632667;0.404358;-0.0943604;-0.60907;0.67572
1432029810656631;0.402222;-0.0873413;-0.6203;0.667664
1432029810685667;0.40033;-0.081543;-0.631592;0.658936
1432029810704673;0.396423;-0.074707;-0.64325;0.650818
1432029810726675;0.389709;-0.0665894;-0.655273;0.643616
1432029810739688;0.382019;-0.0595703;-0.667358;0.636536
1432029810776730;0.37439;-0.0537109;-0.679138;0.629089
1432029810809733;0.366699;-0.048645;-0.690979;0.621033
1432029810815738;0.361755;-0.046814;-0.702026;0.611633
1432029810830778;0.356873;-0.0443115;-0.712952;0.60199
1432029810835815;0.350098;-0.0394897;-0.723633;0.593506
1432029810850821;0.342957;-0.0344238;-0.734131;0.584961
1432029810872846;0.33606;-0.0306396;-0.744995;0.575439
1432029810895958;0.330139;-0.0297852;-0.755615;0.564941
1432029810918938;0.325867;-0.0316772;-0.765381;0.554077
1432029810942046;0.323059;-0.0348511;-0.774109;0.543335
1432029810965009;0.321533;-0.0391846;-0.781616;0.53302
1432029810988020;0.320068;-0.0446167;-0.788452;0.523315
1432029810993044;0.318237;-0.0492554;-0.794495;0.514771
1432029811015062;0.315674;-0.0499878;-0.80011;0.507568
1432029811041087;0.312012;-0.0448608;-0.805664;0.501526
1432029811053123;0.308777;-0.0372314;-0.810852;0.495728
1432029811084208;0.307068;-0.0299683;-0.815063;0.490417
1432029811099182;0.308838;-0.0255127;-0.81781;0.484985
1432029811116201;0.315063;-0.0241699;-0.819519;0.478088
1432029811138216;0.323608;-0.0227051;-0.820618;0.47052
1432029811150224;0.333313;-0.0187988;-0.821045;0.463135
1432029811182324;0.343079;-0.0153198;-0.821228;0.45575
